title,artist,duration_seconds,youtube_id,genres
Family Affair,Mary J. Blige,240,znlFu_lemsU,hip-hop
Fallin',Alicia Keys,211,abcZMQASXF8,hip-hop
Love On Top,Beyoncé,269,5ZDlFj65T8s,pop
Don't Cha,The Pussycat Dolls,235,YNSxNsr4wmA,pop
My Humps,The Black Eyed Peas,209,iEe_eraFWWs,hip-hop
Halo,Beyoncé,261,bnVUHWCynig,pop
Hips Don't Lie,Shakira,218,DUT5rEU6pqM,pop
All That She Wants,Ace of Base,187,d73tiBBzvFM,rock
Don't Speak,No Doubt,242,ecgXVeJaYwE,rock
Hollaback Girl,Gwen Stefani,208,85T9PJHGDxQ,pop
The Sweet Escape,Gwen Stefani ft. Akon,230,O0lf_fE3HwA,pop
Say It Right,Nelly Furtado,208,NmJmtKFAhiE,pop
Can't Get You Out Of My Head,Kylie Minogue,210,c18441Eh_WE,pop
Cheri Cheri Lady,Modern Talking,220,eNvUS-6PTbs,pop
Gimme! Gimme! Gimme!,ABBA,244,XEjLoHdbVeE,rock
Dancing Queen,ABBA,230,xFrGuyw1V8s,rock
Money Money Money,ABBA,208,ETxmCCsMoD0,rock
Daddy Cool,Boney M.,210,FYGTT7YhywA,rock
I Will Survive,Gloria Gaynor,193,6dYWe1c3OyU,rock
Girls Just Wanna Have Fun,Cyndi Lauper,221,XnYFAMzOE_I,rock
Heart Of Glass,Blondie,244,WGU_4-5RaxU,rock
Everybody,Backstreet Boys,210,e-syzbglE6g,pop
Don't Stop Believin',Journey,250,Dtx2JfFbUSc,rock
Unwritten,Natasha Bedingfield,231,vRQb_-mRcAc,pop
Whenever Wherever,Shakira,208,jGkjtR3gq6g,pop
All About That Bass,Meghan Trainor,225,M6w_4k62uHc,pop
Youre The One That I Want,Grease,170,7uda4dFBNck,soundtracks
Wake Me Up Before You Go-Go,Wham!,183,pIgZ7gMze7A,rock
I Wanna Dance With Somebody,Whitney Houston,273,RDXnYFAMzOE_I,rock
Back To Black,Amy Winehouse,240,TJAfLE39ZZ8,rock
You Know I'm No Good,Amy Winehouse,215,b-I2s5zRbHg,rock
Rehab,Amy Winehouse,214,KUmZp8pR1uc,rock
Beggin',Madcon,203,WEaUmBOxDuE,pop
Pump It,The Black Eyed Peas,210,BHfXhiUgnQ0,hip-hop
What Is Love,Haddaway,213,HEXWRTEbj1I,rock
Poker Face,Lady Gaga,235,bESGLojNYSo,pop
Love The Way You Lie,Eminem ft. Rihanna,263,uelHwf8o7_U,hip-hop
Give It Up To Me,Sean Paul,221,bMoNV9oWs2E,hip-hop
Hung Up,Madonna,300,cvT9RP5uUks,pop
S&M,Rihanna,204,KdS6HFQ_LUc,pop
You Spin Me Round,Dead or Alive,213,PGNiXGX2nLU,rock
Material Girl,Madonna,240,3j4jx9jGei4,pop
Bad Romance,Lady Gaga,295,NlK9u6a69Dg,pop
Lay All Your Love On Me,ABBA,247,ulZQTrV8QlQ,rock
Sunny,Bobby Hebb,173,ghGiv7YLC7Q,rock
Cheri Cheri Lady,Modern Talking,220,eNvUS-6PTbs,pop
One Way Or Another,Blondie,203,_zBwRDEFMRY,rock
What's Love Got To Do With It,Tina Turner,233,oGpFcHTxjZs,rock
All Night Long,Lionel Richie,269,nqAvFx3NxUM,rock
You're Beautiful,James Blunt,213,oofSnsGkops,pop
Say My Name,Destiny's Child,240,sQgd6MccwZc,pop
Survivor,Destiny's Child,257,Wmc8bQoL-J0,pop
Empire State Of Mind,JAY-Z & Alicia Keys,273,vk6014HuxcE,hip-hop
Kids,MGMT,303,rdKfuwy6LUM,rock
Low,Flo Rida,232,U2waT9TxPU0,hip-hop
In Da Club,50 Cent,247,5qm8PH4xAss,hip-hop
Apologize,Timbaland & OneRepublic,229,ZSM3w1v-A_Y,pop
Yeah!,Usher,252,GxBSyx85Kp8,hip-hop
Dilemma,Nelly,280,WwJm5hnWv6E,hip-hop
Just Dance,Lady Gaga,244,2Abk1jAONjw,pop
Run the World,Beyoncé,231,VBmMU_iwe6U,pop
Alejandro,Lady Gaga,238,06MV87zoZaY,pop
Call Me Maybe,Carly Rae Jepsen,193,fWNaR-rxAic,pop
Hot N Cold,Katty Perry,200,LG558yBrNfk,pop
I Kissed A Girl,Katty Perry,179,tAp9BKosZXs,pop
I'll Be There For You,Friends,258,S8PNXgLhkT0,soundtracks
I Love It,Icona Pop ft. Charli XCX,124,W50HtcPAeSs,electronic
So What,P!nk,219,FJfFZqTlWrQ,pop
American Boy,Estelle ft. Kanye West,253,Ic5vxw3eijY,hip-hop
This Love,Maroon 5,223,XPpTgCho5ZA,pop
Wannabe,Spice Girls,219,tscL_I2v7pU,pop
Price Tag,Jessie J,221,Nq2n7eeY8V4,pop
No Scrubs,TLC,214,B4k0MhnP30s,hip-hop
Not Like Us,Kendrick Lamar,273,H58vbez_m4E,hip-hop
Torn,Natalie Imbruglia,245,VV1XWJN3nJo,rock
Just A Dream,Nelly,232,N6O2ncUKvlg,hip-hop
Maria Maria,Santana,257,nPLV7lGbmT4,rock
Beautiful Girls,Sean Kingston,200,MrTz5xjmso4,hip-hop
Replay,Iyaz,208,4FqGpT3yhUI,hip-hop
Crank That,Soulja Boy,202,NWi4eavotFk,hip-hop
Linger,The Cranberries,274,G6Kspj3OO0s,rock
We Are The People,Empire of the Sun,242,2rm0gwqCR_0,rock
Teenage Dirtbag,Wheatus,244,FkDU-2ULsmQ,rock
Beautiful,Christina Aguilera,229,SvhvGnMwBvU,pop
Hot N Cold,Katty Perry,200,LG558yBrNfk,pop
Milkshake,Kelis,215,3MMhvKfpin8,hip-hop
Fireflies,Owl City,214,psuRGfAaju4,electronic
Yellow,Coldplay,269,yKNxeF4KMsY,rock
How You Remind Me,Nickelback,208,1cQh1ccqu8M,rock
